name,dob,country,nationalTeam,battingStyle,bowlingStyle
Aakash Chopra,19-09-1977,India,India,Right-hand bat,Right-arm medium
Aamer Hameed,18-10-1954,Pakistan,Pakistan,Right-hand bat,Right-arm medium-fast
Aamer Hanif,04-10-1967,Pakistan,Pakistan,Right-hand bat,Right-arm medium
Aamer Malik,03-01-1963,Pakistan,Pakistan,Right-hand bat,Right-arm fast-medium
Aamer Nazir,02-01-1971,Pakistan,Pakistan,Right-hand bat,Right-arm fast-medium
Aamer Sohail,14-09-1966,Pakistan,Pakistan,Left-hand bat,Slow left-arm
Aaqib Javed,05-08-1972,Pakistan,Pakistan,Right-hand bat,Right-arm fast-medium
Aaron Finch,17-11-1986,Australia,Australia,Right-hand bat,Slow left-arm
Aaron O'Brien,02-10-1981,Australia,Australia,Left-hand bat,Slow left-arm
Aaron Phangiso,21-01-1984,South Africa,South Africa,Right-hand bat,Slow left-arm
Aaron Redmond,23-09-1979,New Zealand,New Zealand,Right-hand bat,Leg-break
Aashish Kapoor,25-03-1971,India,India,Right-hand bat,Off-break
Aasif Karim,15-12-1963,Kenya,Kenya,Right-hand bat,Slow left-arm
Aavishkar Salvi,20-10-1981,India,India,Right-hand bat,Right-arm medium
AB de Villiers,17-02-1984,South Africa,South Africa,Right-hand bat,Right-arm medium
Abbas Ali Baig,19-03-1939,India,India,Right-hand bat,Leg-break
Abdool Samad,03-05-1979,Guyana,Canada,Right-hand bat,Off-break
Abdul Jabbar,01-03-1983,Pakistan,Canada,Right-hand bat,Right-arm medium
Abdul Kadir,10-05-1944,India,Pakistan,Right-hand bat,
Abdul Kardar,17-01-1925,India,Pakistan,Left-hand bat,Slow left-arm
Abdul Qadir,15-09-1955,Pakistan,Pakistan,Right-hand bat,Leg-break googly
Abdul Razzaq,02-12-1979,Pakistan,Pakistan,Right-hand bat,Right-arm fast-medium
Abdul Rehman,02-01-1987,United Arab Emirates,United Arab Emirates,Right-hand bat,
Abdullah Mazari,07-03-1987,Afghanistan,Afghanistan,Left-hand bat,Slow left-arm
Abdur Rauf,09-12-1978,Pakistan,Pakistan,Right-hand bat,Right-arm fast-medium
Abdur Razzak,15-06-1982,Bangladesh,Bangladesh,Left-hand bat,Slow left-arm
Abdur Rehman,01-03-1980,Pakistan,Pakistan,Left-hand bat,Slow left-arm
Abe Waddington,04-02-1893,England,England,Right-hand bat,Left-arm fast-medium
Abey Kuruvilla,04-08-1968,India,India,Right-hand bat,Right-arm fast-medium
Abhijit Kale,03-07-1973,India,India,Right-hand bat,Off-break
Abhimanyu Mithun,25-10-1989,India,India,Right-hand bat,Right-arm medium
Abhinav Mukund,06-01-1990,India,India,Left-hand bat,Leg-break googly
Abhishek Nayar,26-10-1983,India,India,Left-hand bat,Right-arm medium
Abul Hasan,05-08-1992,Bangladesh,Bangladesh,Left-hand bat,Right-arm medium-fast
Abzal Dean,23-02-1983,Trinidad and Tobago,Canada,Left-hand bat,Off-break
Adam Bacher,29-10-1973,South Africa,South Africa,Right-hand bat,Right-arm medium
Adam Dale,30-12-1968,Australia,Australia,Left-hand bat,Right-arm fast-medium
Adam Dibble,09-03-1991,England,,Right-hand bat,Right-arm medium-fast
Adam Gilchrist,14-11-1971,Australia,Australia,Left-hand bat,Off-break
Adam Hollioake,05-09-1971,Australia,England,Right-hand bat,Right-arm medium
Adam Huckle,21-09-1971,Zimbabwe,Zimbabwe,Right-hand bat,Leg-break googly
Adam Lyth,25-09-1987,England,England,Left-hand bat,Off-break
Adam Milne,13-04-1992,New Zealand,New Zealand,Right-hand bat,Right-arm fast
Adam Parore,23-01-1971,New Zealand,New Zealand,Right-hand bat,
Adam Sanford,12-07-1975,Dominica,West Indies,Right-hand bat,Right-arm fast-medium
Adam Voges,04-10-1979,Australia,Australia,Right-hand bat,Slow left-arm
Adeel Raja,15-08-1980,Pakistan,Netherlands,Right-hand bat,Off-break
Adil Rashid,17-02-1988,England,England,Right-hand bat,Leg-break googly
Adnan Akmal,13-03-1985,Pakistan,Pakistan,Right-hand bat,
Adrian Barath,14-04-1990,Trinidad and Tobago,West Indies,Right-hand bat,Off-break
Adrian Griffith,19-11-1971,Barbados,West Indies,Left-hand bat,Right-arm medium
Adrian Kuiper,24-08-1959,South Africa,South Africa,Right-hand bat,"Right-arm medium, Off-break"
Afaq Hussain,31-12-1939,India,Pakistan,Right-hand bat,Off-break
Affie Jarvis,19-10-1860,Australia,Australia,Right-hand bat,
Afsar Zazai,10-08-1993,Afghanistan,Afghanistan,Right-hand bat,
Aftab Ahmed,10-11-1985,Bangladesh,Bangladesh,Right-hand bat,Right-arm medium
Aftab Alam,30-11-1992,Pakistan,Afghanistan,Right-hand bat,Right-arm medium-fast
Aftab Baloch,01-04-1953,Pakistan,Pakistan,Right-hand bat,Off-break
